FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.66342327,66342327,POINT (16.38334522571359 48.27774814881652),21,PA Schlossergasse,,1732,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342328,66342328,POINT (16.383693588226805 48.276673315810996),21,PA Schlossergasse,,1733,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342329,66342329,POINT (16.395726071696526 48.22649540282589),2,Rudolf-Bednar-Park/Krakauer Straße,,1744,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342330,66342330,POINT (16.363582264125498 48.18791736637475),10,Rudolf-Sallinger-Park,,1734,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342331,66342331,POINT (16.381542584630655 48.16439825031571),10,Maria-Rekker-Park,,1735,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342332,66342332,POINT (16.331815425407676 48.19053476353816),15,Rosa-Barach-Park,,1736,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342333,66342333,POINT (16.350171937650703 48.18562080399322),5,Einsiedlerpark,,1875,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342334,66342334,POINT (16.37640961739075 48.15621808223756),2,PA Saligergasse,,1740,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342335,66342335,POINT (16.318587501647443 48.23729530059893),18,Gerda-Lerner-Park,,1737,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342336,66342336,POINT (16.31934198469732 48.237051228758894),18,Gerda-Lerner-Park,,1738,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342337,66342337,POINT (16.332371170794133 45.13989874550384),,,,,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342338,66342338,POINT (16.413056684758036 48.18316838515055),11,PA Panoramaweg,,1526,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342339,66342339,POINT (16.4132695520393 48.181577015351614),11,Hyblerpark,,1741,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342340,66342340,POINT (16.41351470209164 48.18162796200052),11,Hyblerpark,,1742,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342341,66342341,POINT (16.344866347477748 48.21142351475445),8,Hamerlingpark,,1743,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342342,66342342,POINT (16.49315296086761 48.23371631831335),22,Ostbahnbegleitstraße,10,1876,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342343,66342343,POINT (16.494029862417406 48.23368326087957),22,Ostbahnbegleitstraße,10,1877,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342344,66342344,POINT (16.444039892397388 48.16088344830038),11,Schloß Neugebäude - Unterer Garten,,1745,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342345,66342345,POINT (16.332371170794133 45.13989874550384),,,,,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342346,66342346,POINT (16.40247705221448 48.16342595577155),10,Parkanlage Löwygrube,,1878,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342347,66342347,POINT (16.41840492445721 48.182269258950605),11,PA Hallergasse,,1746,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342348,66342348,POINT (16.280445640088914 48.13604659395957),23,GA Liesinger Platz,,1747,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342349,66342349,POINT (16.283574528060093 48.14164421076826),23,PA Robinsonweg,,1748,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
